00000001000136	"TESTE EMPRESA COM UMA GRAFIA"	"ATIVO"	"SP"	"Fantasia LTDA."
00000002000180	"TESTE DE FORNECEDO00002"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000003000125	"TESTE DE FORNECEDO00003"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000004000170	"TESTE CNPJ 0000004 LTDA"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000005000114	"TESTE DE FORNECEDO00005"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000006000169	"TESTE DE FORNECEDO00006"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000007000103	"TESTE CNPJ 00000007 LTDA"	"ATIVO"	"SP"	"Fantasia LTDA."
00000010000127	"TESTE 010"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000011000171	"TESTE CNPJ 000000011 LTDA"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000022000151	"TESTE CNPJ 00000022 LTDA"	"ATIVO"	"SP"	"Fantasia LTDA."
00000023000104	"TESTE CNPJ 0000004 LTDA"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000101000162	"TESTE DE INCLUSAO DE NOME"	 "ATIVO"	"SP"	"Fantasia LTDA."
00000101000162	"TESTE DE INCLUSAO DO BRITO"	"ATIVO"	"SP"	"Fantasia LTDA."
00000101000162	"TESTE DO BRITO"	"ATIVO"	"SP"	"Fantasia LTDA."
00000113000197	"EMPRESA DE TESTE YYYY"	"ATIVO"	"SP"	"Fantasia LTDA."
00000124000177	"NOME TESTE 124"	"ATIVO"	"SP"	"Fantasia LTDA."
00000288000102	"TESTE CNPJ 00000288 LTDA"	"ATIVO"	"SP"	"Fantasia LTDA."
00001001000150	"EMPRESA TESTE ABABABA"	"ATIVO"	"SP"	"Fantasia LTDA."
00001002000103	"CLIENTE TESTE CBCBCBCB"	"ATIVO"	"SP"	"Fantasia LTDA."
00001003000140	"EMPRESA TESTE LPLPLPLP"	"ATIVO"	"SP"	"Fantasia LTDA."
00001011000196	"TESTE REFIN MONITORE UM PJ"	"ATIVO"	"SP"	"Fantasia LTDA."
00001022000176	"TESTE REFIN MONITORE DOIS PJ"	"ATIVO"	"SP"	"Fantasia LTDA."
00001033000156	"TESTE REFIN MONITORE TRES PJ"	"ATIVO"	"SP"	"Fantasia LTDA."
00001044000136	"TESTE REFIN MONITORE QUATRO PJ"	"ATIVO"	"SP"	"Fantasia LTDA."
00001050000193	"TESTE DE HOMOLGACAO 1050"	"ATIVO"	"SP"	"Fantasia LTDA."
00001055000116	"TESTE REFIN MONITORE CINCO PF"	"ATIVO"	"SP"	"Fantasia LTDA."
00001268000148	"TESTE CNPJ 1268"	 "ATIVO"	"SP"	"Fantasia LTDA."
